TCP/HTTP, [200], [openresty][jQuery][Microsoft-Exchange][JSP], http://auth.wtu.edu.cn, [统一身份认证]
TCP/HTTP, [200], [none], http://sso.wtu.edu.cn, [统一身份认证平台]
TCP/HTTP, [302], [none], http://sid.wtu.edu.cn, [None]
TCP/HTTP, [302], [nginx], http://zypt.wtu.edu.cn, [None]
TCP/HTTP, [502], [none], http://ws1.wtu.edu.cn, [访问出错 - 502]
TCP/HTTP, [200], [Chart.js][none][jQuery][Bootstrap][JSP][Echarts][JAVA], http://coder.wtu.edu.cn, [None]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://csai.wtu.edu.cn, [武汉纺织大学-计算机与人工智能学院]
TCP/HTTP, [200], [JAVA], http://xuebao.wtu.edu.cn, [武汉纺织大学学报]
TCP/HTTP, [200], [cmproxy][Coremail][JAVA], http://mail.wtu.edu.cn, [武汉纺织大学邮件系统]
TCP/HTTP, [302], [openresty], http://ehall.wtu.edu.cn, [302 Found]
TCP/HTTP, [403], , http://mobile.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [404], [none][JSP][Servlet][JAVA], http://jwglxt.wtu.edu.cn, [None]
TCP/HTTP, [200], [jQuery][JAVA], http://xyh.wtu.edu.cn, [武汉纺织大学校友工作处、校友会、教育发展基金会]
TCP/HTTP, [200], [jQuery][JAVA], http://student.wtu.edu.cn, [武汉纺织大学-党委学生工作部 学生工作处 武装部]
TCP/HTTP, [200], [jQuery][JAVA], http://art.wtu.edu.cn, [武汉纺织大学-艺术与设计学院]
TCP/HTTP, [403], , http://mcs.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://adv.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][The-enterprise-QQ][JAVA], http://hq.wtu.edu.cn, [后勤保障处]
TCP/HTTP, [200], [jQuery][JAVA], http://fe.wtu.edu.cn, [武汉纺织大学经济学院]
TCP/HTTP, [403], , http://hcxy.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [JSP][JAVA][none], http://fzjxcg.wtu.edu.cn, [None]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://acc.wtu.edu.cn, [武纺会计学院]
TCP/HTTP, [403], , http://cibe.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://cwc.wtu.edu.cn, [财务处2024]
TCP/HTTP, [200], [jQuery][JAVA], http://etc.wtu.edu.cn, [信息化工作办公室(信息计算中心)-武汉纺织大学]
TCP/HTTP, [200], [jQuery][JAVA], http://bifca.wtu.edu.cn, [伯明翰时尚创意学院-武汉纺织大学]
TCP/HTTP, [200], [JAVA], http://dtlab.wtu.edu.cn, [湖北省数字化纺织装备重点实验室]
TCP/HTTP, [200], [JAVA][jQuery], http://fgc.wtu.edu.cn, [武汉纺织大学发展规划处（学科建设办公室）]
TCP/HTTP, [200], [jQuery][JAVA], http://cfd.wtu.edu.cn, [武汉纺织大学-教师发展中心]
TCP/HTTP, [200], [jQuery][The-enterprise-QQ][JAVA], http://dag.wtu.edu.cn, [档案馆]
TCP/HTTP, [403], , http://cfa.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://fl.wtu.edu.cn, [外国语学院]
TCP/HTTP, [200], [jQuery][JAVA], http://ei.wtu.edu.cn, [武汉纺织大学-电子与电气工程学院]
TCP/HTTP, [200], [jQuery][JAVA], http://gh.wtu.edu.cn, [工会]
TCP/HTTP, [200], [jQuery][JAVA], http://bwc.wtu.edu.cn, [武汉纺织大学保卫处]
TCP/HTTP, [200], [jQuery][JAVA], http://em.wtu.edu.cn, [武汉纺织大学-管理学院]
TCP/HTTP, [200], [jQuery][JAVA], http://ec.wtu.edu.cn, [武汉纺织大学化学与化工学院]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://english.wtu.edu.cn, [WUHAN TEXTILE UNIVERSITY]
TCP/HTTP, [200], [jQuery][JAVA], http://dpm.wtu.edu.cn, [武汉纺织大学实验室与设备管理处]
TCP/HTTP, [403], , http://csct2016.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://mc.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://jxjy.wtu.edu.cn, [武汉纺织大学继续教育学院]
TCP/HTTP, [403], , http://jxcg.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://mks.wtu.edu.cn, [马克思主义学院]
TCP/HTTP, [403], , http://hqc.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://ma.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://lib.wtu.edu.cn, [武汉纺织大学图书馆]
TCP/HTTP, [502], [none], http://sam.wtu.edu.cn, [访问出错 - 502]
TCP/HTTP, [200], [jQuery][JAVA], http://rsc.wtu.edu.cn, [党委教师工作部人事处]
TCP/HTTP, [200], [jQuery][JAVA], http://jwc.wtu.edu.cn, [武汉纺织大学教务处]
TCP/HTTP, [200], [jQuery][JAVA], http://me.wtu.edu.cn, [武汉纺织大学机械工程与自动化学院]
TCP/HTTP, [403], , http://keylabnt.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [JAVA][jQuery], http://jjc.wtu.edu.cn, [武纺基建处]
TCP/HTTP, [403], , http://sites.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://hvt.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://gs.wtu.edu.cn, [武汉纺织大学研究生院、研究生工作部]
TCP/HTTP, [403], , http://shpg.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://rsgl.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://kyc.wtu.edu.cn, [武汉纺织大学科学技术发展院]
TCP/HTTP, [200], [JAVA][jQuery], http://welcome.wtu.edu.cn, [武汉纺织大学迎新网]
TCP/HTTP, [403], , http://strz.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://sz.wtu.edu.cn, [武汉纺织大学思政网]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://te.wtu.edu.cn, [武汉纺织大学 纺织科学与工程学院]
TCP/HTTP, [200], [jQuery][JAVA], http://ty.wtu.edu.cn, [武汉纺织大学体育部]
TCP/HTTP, [403], , http://tp.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [406], [openresty], http://sh2-api2.intsig.net, [406 Not Acceptable]
TCP/HTTP, [406], [Intsig Web Server][OpenResty], http://ent-jp.intsig.net, [406 Not Acceptable]
TCP/HTTP, [200], [APISIX], http://vanguard-web-online.ai.intsig.net, [知识管理助手]
TLS/HTTPS, [200], [APISIX], http://web-ubd.intsig.net, [None]
TCP/HTTP, [403], [Intsig Web Server], http://static-sandbox.intsig.net, [None]
TCP/HTTP, [404], [APISIX], http://csbase-ai-gateway-us.intsig.net, [None]
TCP/HTTP, [200], [Intsig Web Server], http://billpoc.intsig.net, [invoice-bmw]
TCP/HTTP, [404], [Intsig Web Server], http://cs1-sandbox.intsig.net, [404 Not Found]
TCP/HTTP, [404], [APISIX], http://frameselection.intsig.net, [None]
TCP/HTTP, [406], [Intsig Web Server][OpenResty], http://d3038.intsig.net, [406 Not Acceptable]
TLS/HTTPS, [200], [Intsig Web Server], http://web-sso.intsig.net, [sso统一认证]
TCP/HTTP, [406], [Intsig Web Server], http://api-cc.intsig.net, [406 Not Acceptable]
TCP/HTTP, [406], [Intsig Web Server][OpenResty], http://d2149.intsig.net, [406 Not Acceptable]
TCP/HTTP, [404], [openresty], http://zhugeio-sdk.intsig.net, [404 Not Found]
TCP/HTTP, [403], [Intsig Web Server], http://inner-proxy.intsig.net, [403]
TLS/HTTPS, [406], [Intsig Web Server], http://camexam.intsig.net, [406 Not Acceptable]
TCP/HTTP, [200], [Intsig Web Server], http://cs-bak.intsig.net, [None]
TCP/HTTP, [302], [Intsig Web Server], http://home.intsig.net, [302 Found]
TCP/HTTP, [406], [openresty], http://logio.intsig.net, [406 Not Acceptable]
TCP/HTTP, [403], [AmazonS3], http://cc-file-public-sandbox-os.intsig.net, [None]
TCP/HTTP, [403], [Intsig Web Server], http://hummer.intsig.net, [403 Forbidden]
TCP/HTTP, [403], [Tengine][Citrix-Netscaler][Ali-CDN], http://ss-static.intsig.net, [None]
TCP/HTTP, [200], [Intsig Web Server], http://api-cs-bak.intsig.net, [None]
TCP/HTTP, [406], [Intsig Web Server], http://api-center.intsig.net, [406 Not Acceptable]
TCP/HTTP, [302], [Intsig Web Server], http://operate-test.intsig.net, [302 Found]
TCP/HTTP, [404], [APISIX], http://nx-gw-ipv6-test.intsig.net, [None]
TCP/HTTP, [406], [openresty], http://corp1.intsig.net, [406 Not Acceptable]
TCP/HTTP, [406], [Intsig Web Server], http://api-cs-cn.intsig.net, [406 Not Acceptable]
TCP/HTTP, [404], [Intsig Web Server], http://web-cms.intsig.net, [404 Not Found]
TCP/HTTP, [404], [openresty], http://download.intsig.net, [404 Not Found]
TCP/HTTP, [400], [Tengine][Ali-CDN], http://dllf.intsig.net, [None]
TCP/HTTP, [406], [Intsig Web Server][OpenResty], http://cc1.intsig.net, [406 Not Acceptable]
TCP/HTTP, [403], [Intsig Web Server], http://yxyun.intsig.net, [403 Forbidden]
TCP/HTTP, [403], , http://crawler-fs.intsig.net, [None]
TLS/HTTPS, [200], [nginx/1.21.3], http://ge.intsig.net, [None]
TCP/HTTP, [200], [Intsig Web Server], http://bcr-us.intsig.net, [Welcome to nginx!]
TLS/HTTPS, [200], [Intsig Web Server], http://api-cs-bak-sandbox.intsig.net, [None]
TCP/HTTP, [403], [Intsig Web Server], http://a-sandbox.intsig.net, [403 Forbidden]
TLS/HTTPS, [200], [Intsig Web Server], http://api-center-sandbox.intsig.net, [Welcome to OpenResty!]
TCP/HTTP, [404], [Intsig Web Server], http://m-hr.intsig.net, [404 Not Found]
TCP/HTTP, [302], [Intsig Web Server], http://web-api.intsig.net, [302 Found]
TCP/HTTP, [403], [Intsig Web Server], http://blog-test.intsig.net, [403 Forbidden]
TCP/HTTP, [502], [openresty], http://imgs1.intsig.net, [Error]
TCP/HTTP, [406], [Intsig Web Server], http://api-cs.intsig.net, [406 Not Acceptable]
TCP/HTTP, [404], [Intsig Web Server][OpenResty], http://cs8.intsig.net, [404 Not Found]
TCP/HTTP, [406], [openresty], http://bcr2.intsig.net, [406 Not Acceptable]
TCP/HTTP, [403], [Intsig Web Server], http://ss-pre.intsig.net, [403 Forbidden]
TLS/HTTPS, [406], [Intsig Web Server], http://ss.intsig.net, [406 Not Acceptable]
TCP/HTTP, [403], [Ali-CDN][Tengine], http://static.intsig.net, [None]
TCP/HTTP, [302], [openresty], http://www.intsig.net, [302 Found]
TCP/HTTP, [406], [openresty], http://bcrs1.intsig.net, [None]
TCP/HTTP, [404], [APISIX], http://imgs-sandbox.intsig.net, [None]
TCP/HTTP, [406], [openresty], http://bcrs.intsig.net, [None]
TCP/HTTP, [404], [openresty], http://mail-dispatcher.intsig.net, [404 Not Found]
TLS/HTTPS, [200], [Intsig Web Server], http://srh.intsig.net, [Welcome to OpenResty!]
TCP/HTTP, [404], [openresty], http://bug-report.intsig.net, [404 Not Found]
TCP/HTTP, [406], [openresty], http://api.intsig.net, [406 Not Acceptable]
TCP/HTTP, [403], [APISIX][OpenResty], http://s.intsig.net, [403 Forbidden]
TCP/HTTP, [404], [openresty], http://a.intsig.net, [404 Not Found]
TCP/HTTP, [200], [Intsig Web Server], http://imgs3.intsig.net, [Welcome to OpenResty!]
TCP/HTTP, [200], [jQuery][JAVA], http://cyxy.wtu.edu.cn, [创新创业学院]
